case	round	attempt	stratum	baseline_wall_s	candidate_wall_s	wall_log_ratio	baseline_rss_kb	candidate_rss_kb	rss_difference_kb	baseline_raw	candidate_raw
indented_ast_1k	20	1	CB	8.47	9.49	0.113708103958	10500	10640	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r20_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r20_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	21	1	BC	8.12	8.96	0.098440072813	10372	10512	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r21_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r21_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	22	1	CB	8.07	8.29	0.026896486865	10372	10640	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r22_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r22_a1_o08_indented_ast_1k_candidate.raw
indented_ast_1k	23	1	BC	9.04	8.10	-0.109795112726	10372	10640	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r23_a1_o01_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r23_a1_o01_indented_ast_1k_candidate.raw
indented_ast_1k	24	1	CB	7.60	7.82	0.028536307265	10372	10512	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r24_a1_o08_indented_ast_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r24_a1_o08_indented_ast_1k_candidate.raw
indented_ast_10k	1	1	BC	35.60	35.07	-0.014999573706	35540	35936	396	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r01_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r01_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	2	1	CB	16.71	17.05	0.020142861122	35684	35680	-4	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r02_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r02_a1_o07_indented_ast_10k_candidate.raw
indented_ast_10k	3	1	BC	15.64	17.74	0.125990241764	35668	35936	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r03_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r03_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	4	1	CB	17.81	18.31	0.027687261385	35552	35680	128	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r04_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r04_a1_o07_indented_ast_10k_candidate.raw
indented_ast_10k	5	1	BC	22.27	23.68	0.061390328747	35540	35680	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r05_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r05_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	6	1	CB	19.77	19.91	0.007056480894	35680	35820	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r06_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r06_a1_o07_indented_ast_10k_candidate.raw
indented_ast_10k	7	1	BC	16.53	16.69	0.009632825841	35540	35680	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r07_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r07_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	8	1	CB	23.19	25.70	0.102769840634	35668	35680	12	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r08_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r08_a1_o07_indented_ast_10k_candidate.raw
indented_ast_10k	9	1	BC	20.86	20.13	-0.035622209921	35540	35808	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r09_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r09_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	10	3	CB	22.43	23.32	0.038912012950	35540	35680	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r10_a3_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r10_a3_o07_indented_ast_10k_candidate.raw
indented_ast_10k	11	1	BC	26.14	26.35	0.008001566791	35540	35808	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r11_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r11_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	12	1	CB	20.48	21.24	0.036437396202	35668	35680	12	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r12_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r12_a1_o07_indented_ast_10k_candidate.raw
indented_ast_10k	13	1	BC	16.74	17.99	0.072014982901	35540	35680	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r13_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r13_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	14	1	CB	13.62	15.05	0.099838690474	35552	35808	256	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r14_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r14_a1_o07_indented_ast_10k_candidate.raw
indented_ast_10k	15	1	BC	13.83	13.34	-0.036073105189	35540	35680	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r15_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r15_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	16	1	CB	13.85	14.57	0.050679387574	35540	35680	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r16_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r16_a1_o07_indented_ast_10k_candidate.raw
indented_ast_10k	17	1	BC	15.40	15.68	0.018018505503	35668	35808	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r17_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r17_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	18	1	CB	15.19	13.78	-0.097419051022	35680	35808	128	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r18_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r18_a1_o07_indented_ast_10k_candidate.raw
indented_ast_10k	19	1	BC	13.12	13.03	-0.006883392379	35664	35932	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r19_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r19_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	20	1	CB	12.64	13.82	0.089250429621	35552	35936	384	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r20_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r20_a1_o07_indented_ast_10k_candidate.raw
indented_ast_10k	21	1	BC	13.59	13.79	0.014609463642	35540	35680	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r21_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r21_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	22	1	CB	13.60	13.31	-0.021554160335	35540	35808	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r22_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r22_a1_o07_indented_ast_10k_candidate.raw
indented_ast_10k	23	1	BC	13.84	13.65	-0.013823428559	35668	35680	12	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r23_a1_o02_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r23_a1_o02_indented_ast_10k_candidate.raw
indented_ast_10k	24	1	CB	12.62	12.76	0.011032420804	35540	35808	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r24_a1_o07_indented_ast_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r24_a1_o07_indented_ast_10k_candidate.raw
indented_direct_1k	1	1	BC	23.64	27.16	0.138805110153	8576	8832	256	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r01_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r01_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	2	1	CB	11.47	12.53	0.088390837767	8448	8576	128	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r02_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r02_a1_o06_indented_direct_1k_candidate.raw
