round	stratum	case	items	repeats	baseline_wall	baseline_rss_kb	candidate_wall	candidate_rss_kb	baseline_exit	candidate_exit	baseline_affinity	candidate_affinity	baseline_timestamp	candidate_timestamp
23	BC	indented_ast	1000	50	0:08.26	10532	0:08.37	10540	0	0	10	10	2026-08-30T17:12:57+09:00	2026-08-30T17:13:05+09:00
23	BC	indented_ast	10000	8	0:13.94	35572	0:13.99	35836	0	0	10	10	2026-08-30T17:13:19+09:00	2026-08-30T17:13:33+09:00
23	BC	braced_ast	1000	50	0:08.60	10400	0:08.75	10540	0	0	10	10	2026-08-30T17:13:52+09:00	2026-08-30T17:14:00+09:00
23	BC	braced_ast	10000	8	0:14.15	35680	0:16.53	35692	0	0	10	10	2026-08-30T17:14:14+09:00	2026-08-30T17:14:28+09:00
23	BC	indented_direct	1000	50	0:10.07	8576	0:09.98	8448	0	0	10	10	2026-08-30T17:14:50+09:00	2026-08-30T17:15:00+09:00
23	BC	indented_direct	10000	8	0:16.65	10040	0:16.64	10168	0	0	10	10	2026-08-30T17:15:15+09:00	2026-08-30T17:15:32+09:00
23	BC	braced_direct	1000	50	0:09.42	8704	0:09.54	8448	0	0	10	10	2026-08-30T17:15:54+09:00	2026-08-30T17:16:03+09:00
23	BC	braced_direct	10000	8	0:17.65	10276	0:16.80	10284	0	0	10	10	2026-08-30T17:16:18+09:00	2026-08-30T17:16:35+09:00
24	CB	braced_direct	10000	8	0:18.62	10020	0:18.55	10412	0	0	10	10	2026-08-30T17:17:16+09:00	2026-08-30T17:16:57+09:00
24	CB	braced_direct	1000	50	0:11.51	8320	0:12.01	8448	0	0	10	10	2026-08-30T17:17:52+09:00	2026-08-30T17:17:40+09:00
24	CB	indented_direct	10000	8	0:19.50	10036	0:20.68	10172	0	0	10	10	2026-08-30T17:18:29+09:00	2026-08-30T17:18:08+09:00
24	CB	indented_direct	1000	50	0:11.98	8576	0:12.45	8576	0	0	10	10	2026-08-30T17:19:06+09:00	2026-08-30T17:18:54+09:00
24	CB	braced_ast	10000	8	0:17.06	35692	0:17.33	35564	0	0	10	10	2026-08-30T17:19:41+09:00	2026-08-30T17:19:23+09:00
24	CB	braced_ast	1000	50	0:11.41	10528	0:10.51	10412	0	0	10	10	2026-08-30T17:20:13+09:00	2026-08-30T17:20:03+09:00
24	CB	indented_ast	10000	8	0:17.86	35712	0:17.74	35836	0	0	10	10	2026-08-30T17:20:47+09:00	2026-08-30T17:20:30+09:00
24	CB	indented_ast	1000	50	0:11.31	10532	0:11.13	10412	0	0	10	10	2026-08-30T17:21:22+09:00	2026-08-30T17:21:10+09:00
