round	stratum	case	items	repeats	baseline_wall	baseline_rss_kb	candidate_wall	candidate_rss_kb	baseline_exit	candidate_exit	baseline_affinity	candidate_affinity	baseline_timestamp	candidate_timestamp
5	BC	braced_ast	10000	8	0:08.85	35808	0:08.84	35564	0	0	10	10	2026-08-30T16:07:33+09:00	2026-08-30T16:07:42+09:00
5	BC	indented_direct	1000	50	0:06.51	8576	0:06.37	8448	0	0	10	10	2026-08-30T16:07:56+09:00	2026-08-30T16:08:03+09:00
5	BC	indented_direct	10000	8	0:10.44	10192	0:10.77	10300	0	0	10	10	2026-08-30T16:08:14+09:00	2026-08-30T16:08:25+09:00
5	BC	braced_direct	1000	50	0:05.90	8576	0:05.91	8448	0	0	10	10	2026-08-30T16:08:40+09:00	2026-08-30T16:08:46+09:00
5	BC	braced_direct	10000	8	0:09.98	10020	0:09.38	10156	0	0	10	10	2026-08-30T16:08:57+09:00	2026-08-30T16:09:07+09:00
6	CB	braced_direct	10000	8	0:10.07	10020	0:09.47	10284	0	0	10	10	2026-08-30T16:09:31+09:00	2026-08-30T16:09:22+09:00
6	CB	braced_direct	1000	50	0:05.88	8448	0:05.89	8576	0	0	10	10	2026-08-30T16:09:52+09:00	2026-08-30T16:09:46+09:00
6	CB	indented_direct	10000	8	0:10.20	10296	0:10.68	10172	0	0	10	10	2026-08-30T16:10:14+09:00	2026-08-30T16:10:03+09:00
6	CB	indented_direct	1000	50	0:06.98	8704	0:06.35	8576	0	0	10	10	2026-08-30T16:10:36+09:00	2026-08-30T16:10:29+09:00
6	CB	braced_ast	10000	8	0:09.11	35552	0:08.93	35564	0	0	10	10	2026-08-30T16:10:56+09:00	2026-08-30T16:10:48+09:00
6	CB	braced_ast	1000	50	0:05.55	10400	0:05.47	10540	0	0	10	10	2026-08-30T16:11:17+09:00	2026-08-30T16:11:11+09:00
6	CB	indented_ast	10000	8	0:09.57	35700	0:09.03	35836	0	0	10	10	2026-08-30T16:11:36+09:00	2026-08-30T16:11:27+09:00
6	CB	indented_ast	1000	50	0:05.74	10404	0:05.65	10540	0	0	10	10	2026-08-30T16:11:57+09:00	2026-08-30T16:11:51+09:00
7	BC	indented_ast	1000	50	0:05.72	10532	0:06.19	10412	0	0	10	10	2026-08-30T16:12:07+09:00	2026-08-30T16:12:13+09:00
7	BC	indented_ast	10000	8	0:09.27	35572	0:09.41	35708	0	0	10	10	2026-08-30T16:12:24+09:00	2026-08-30T16:12:34+09:00
7	BC	braced_ast	1000	50	0:05.97	10528	0:05.41	10412	0	0	10	10	2026-08-30T16:12:48+09:00	2026-08-30T16:12:54+09:00
7	BC	braced_ast	10000	8	0:08.77	35552	0:08.89	35576	0	0	10	10	2026-08-30T16:13:05+09:00	2026-08-30T16:13:13+09:00
7	BC	indented_direct	1000	50	0:06.29	8448	0:06.24	8448	0	0	10	10	2026-08-30T16:13:28+09:00	2026-08-30T16:13:34+09:00
7	BC	indented_direct	10000	8	0:10.80	10296	0:10.13	10300	0	0	10	10	2026-08-30T16:13:46+09:00	2026-08-30T16:13:56+09:00
7	BC	braced_direct	1000	50	0:05.95	8320	0:06.04	8448	0	0	10	10	2026-08-30T16:14:12+09:00	2026-08-30T16:14:18+09:00
7	BC	braced_direct	10000	8	0:10.15	10148	0:09.92	10156	0	0	10	10	2026-08-30T16:14:29+09:00	2026-08-30T16:14:39+09:00
8	CB	braced_direct	10000	8	0:10.05	10020	0:10.87	10168	0	0	10	10	2026-08-30T16:15:05+09:00	2026-08-30T16:14:54+09:00
8	CB	braced_direct	1000	50	0:06.34	8576	0:06.21	8704	0	0	10	10	2026-08-30T16:15:27+09:00	2026-08-30T16:15:20+09:00
8	CB	indented_direct	10000	8	0:12.95	10172	0:11.46	10172	0	0	10	10	2026-08-30T16:15:50+09:00	2026-08-30T16:15:38+09:00
8	CB	indented_direct	1000	50	0:08.91	8448	0:08.72	8448	0	0	10	10	2026-08-30T16:16:17+09:00	2026-08-30T16:16:08+09:00
8	CB	braced_ast	10000	8	0:12.68	35680	0:13.09	35692	0	0	10	10	2026-08-30T16:16:44+09:00	2026-08-30T16:16:31+09:00
8	CB	braced_ast	1000	50	0:08.52	10656	0:07.74	10408	0	0	10	10	2026-08-30T16:17:10+09:00	2026-08-30T16:17:02+09:00
8	CB	indented_ast	10000	8	0:13.44	35700	0:13.09	35836	0	0	10	10	2026-08-30T16:17:37+09:00	2026-08-30T16:17:23+09:00
8	CB	indented_ast	1000	50	0:10.37	10532	0:09.74	10540	0	0	10	10	2026-08-30T16:18:05+09:00	2026-08-30T16:17:55+09:00
9	BC	indented_ast	1000	50	0:11.10	10404	0:10.69	10540	0	0	10	10	2026-08-30T16:18:21+09:00	2026-08-30T16:18:32+09:00
9	BC	indented_ast	10000	8	0:13.27	35700	0:15.67	35580	0	0	10	10	2026-08-30T16:18:48+09:00	2026-08-30T16:19:01+09:00
9	BC	braced_ast	1000	50	0:10.01	10400	0:08.88	10412	0	0	10	10	2026-08-30T16:19:22+09:00	2026-08-30T16:19:32+09:00
9	BC	braced_ast	10000	8	0:15.87	35552	0:15.65	35564	0	0	10	10	2026-08-30T16:19:46+09:00	2026-08-30T16:20:02+09:00
9	BC	indented_direct	1000	50	0:11.59	8320	0:06.66	8448	0	0	10	10	2026-08-30T16:20:22+09:00	2026-08-30T16:20:34+09:00
