timestamp	family	case	items	repeats	sample	attempt	wall_raw	rss_kb	exit	affinity	valid	raw_file	command
2026-08-30T21:54:44,833347819+09:00	companion	indented_direct	10000	8	2	1	0:13.86	10248	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_direct_10000_s2_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_direct YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:55:03,780867499+09:00	companion	indented_direct	10000	8	3	1	0:12.86	10120	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_direct_10000_s3_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_direct YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:55:21,701709966+09:00	companion	braced_ast	1000	50	1	1	0:07.11	10112	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_ast_1000_s1_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_ast YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:55:33,911563367+09:00	companion	braced_ast	1000	50	2	1	0:06.59	10112	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_ast_1000_s2_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_ast YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:55:45,557409694+09:00	companion	braced_ast	1000	50	3	1	0:07.06	10112	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_ast_1000_s3_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_ast YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:55:57,710039869+09:00	companion	braced_ast	10000	8	1	1	0:10.97	33324	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_ast_10000_s1_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_ast YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:56:13,751851396+09:00	companion	braced_ast	10000	8	2	1	0:11.18	33452	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_ast_10000_s2_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_ast YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:56:29,997220033+09:00	companion	braced_ast	10000	8	3	1	0:11.93	33192	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_ast_10000_s3_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_ast YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:56:47,050665708+09:00	companion	braced_direct	1000	50	1	1	0:07.99	8704	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_direct_1000_s1_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_direct YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:57:00,148711183+09:00	companion	braced_direct	1000	50	2	1	0:07.69	8576	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_direct_1000_s2_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_direct YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:57:12,945264821+09:00	companion	braced_direct	1000	50	3	1	0:08.10	8576	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_direct_1000_s3_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_direct YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:57:26,163583068+09:00	companion	braced_direct	10000	8	1	1	0:12.65	10380	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_direct_10000_s1_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_direct YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:57:43,862905178+09:00	companion	braced_direct	10000	8	2	1	0:13.14	10120	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_direct_10000_s2_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_direct YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:58:02,088598558+09:00	companion	braced_direct	10000	8	3	1	0:12.83	10248	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_direct_10000_s3_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_direct YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:58:20,041325700+09:00	companion	indented_ast_comment_stress	1000	50	1	1	0:26.93	10496	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_ast_comment_stress_1000_s1_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_ast_comment_stress YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:58:52,104363151+09:00	companion	indented_ast_comment_stress	1000	50	2	1	0:26.97	10496	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_ast_comment_stress_1000_s2_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_ast_comment_stress YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:59:24,161201905+09:00	companion	indented_ast_comment_stress	1000	50	3	1	0:25.59	10496	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_ast_comment_stress_1000_s3_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_ast_comment_stress YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T21:59:54,859334609+09:00	companion	indented_ast_comment_stress	10000	8	1	1	0:39.50	34628	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_ast_comment_stress_10000_s1_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_ast_comment_stress YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:00:39,460332371+09:00	companion	indented_ast_comment_stress	10000	8	2	1	0:38.02	34756	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_ast_comment_stress_10000_s2_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_ast_comment_stress YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:01:22,615058401+09:00	companion	indented_ast_comment_stress	10000	8	3	1	0:37.47	34756	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_ast_comment_stress_10000_s3_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_ast_comment_stress YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:02:05,217610823+09:00	companion	indented_direct_comment_stress	1000	50	1	1	0:24.07	9472	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_direct_comment_stress_1000_s1_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_direct_comment_stress YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:02:34,384909956+09:00	companion	indented_direct_comment_stress	1000	50	2	1	0:23.59	9344	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_direct_comment_stress_1000_s2_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_direct_comment_stress YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:03:03,052286564+09:00	companion	indented_direct_comment_stress	1000	50	3	1	0:24.11	9216	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_direct_comment_stress_1000_s3_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_direct_comment_stress YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:03:32,288191303+09:00	companion	indented_direct_comment_stress	10000	8	1	1	0:37.94	17416	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_direct_comment_stress_10000_s1_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_direct_comment_stress YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:04:15,285833438+09:00	companion	indented_direct_comment_stress	10000	8	2	1	0:36.65	17672	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_direct_comment_stress_10000_s2_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_direct_comment_stress YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:04:56,996674106+09:00	companion	indented_direct_comment_stress	10000	8	3	1	0:36.85	17288	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_indented_direct_comment_stress_10000_s3_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=indented_direct_comment_stress YULANG_GATE2_COMPANION_ITEMS=10000 YULANG_GATE2_COMPANION_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:05:38,932757041+09:00	companion	braced_ast_comment_stress	1000	50	1	1	0:20.81	10496	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_ast_comment_stress_1000_s1_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_ast_comment_stress YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:06:04,829766891+09:00	companion	braced_ast_comment_stress	1000	50	2	1	0:21.48	10240	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_ast_comment_stress_1000_s2_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_ast_comment_stress YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
2026-08-30T22:06:31,414750957+09:00	companion	braced_ast_comment_stress	1000	50	3	1	0:21.24	10496	0	10	1	/tmp/yulang-gate2-final.TM8ChV/candidate_samples/raw/companion_braced_ast_comment_stress_1000_s3_a1.raw	taskset -c 10 /usr/bin/time -v env YULANG_GATE2_COMPANION_CASE=braced_ast_comment_stress YULANG_GATE2_COMPANION_ITEMS=1000 YULANG_GATE2_COMPANION_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::declaration::companion::tests::gate2_statement_only_companion_performance_harness --nocapture
