timestamp	phase	round	attempt	case	case_order	subject	pair_order	items	repeats	wall_raw	rss_kb	exit	affinity	valid	raw_file	command
2026-08-30T19:46:37,477739897+09:00	warmup	1	1	braced_ast_10k	6	baseline	1	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o06_braced_ast_10k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_ast YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:46:58,990503770+09:00	warmup	1	1	braced_ast_10k	6	candidate	2	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o06_braced_ast_10k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_ast YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:47:28,178038960+09:00	warmup	1	1	braced_direct_1k	7	baseline	1	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o07_braced_direct_1k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_direct YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:47:43,898569488+09:00	warmup	1	1	braced_direct_1k	7	candidate	2	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o07_braced_direct_1k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_direct YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:48:08,262241682+09:00	warmup	1	1	braced_direct_10k	8	baseline	1	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o08_braced_direct_10k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_direct YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:48:40,501459953+09:00	warmup	1	1	braced_direct_10k	8	candidate	2	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r01_a1_o08_braced_direct_10k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_direct YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:49:07,103324147+09:00	warmup	2	1	braced_direct_10k	1	candidate	1	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o01_braced_direct_10k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_direct YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:49:27,389596569+09:00	warmup	2	1	braced_direct_10k	1	baseline	2	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o01_braced_direct_10k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_direct YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:49:52,936645544+09:00	warmup	2	1	braced_direct_1k	2	candidate	1	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o02_braced_direct_1k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_direct YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:50:06,047008530+09:00	warmup	2	1	braced_direct_1k	2	baseline	2	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o02_braced_direct_1k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_direct YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:50:23,962407939+09:00	warmup	2	1	braced_ast_10k	3	candidate	1	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o03_braced_ast_10k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_ast YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:50:44,213378874+09:00	warmup	2	1	braced_ast_10k	3	baseline	2	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o03_braced_ast_10k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_ast YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:51:09,097176556+09:00	warmup	2	1	braced_ast_1k	4	candidate	1	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o04_braced_ast_1k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_ast YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:51:21,046540816+09:00	warmup	2	1	braced_ast_1k	4	baseline	2	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o04_braced_ast_1k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=braced_ast YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:51:37,610298763+09:00	warmup	2	1	indented_direct_10k	5	candidate	1	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o05_indented_direct_10k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_direct YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:52:01,323554371+09:00	warmup	2	1	indented_direct_10k	5	baseline	2	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o05_indented_direct_10k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_direct YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:52:33,063200600+09:00	warmup	2	1	indented_direct_1k	6	candidate	1	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o06_indented_direct_1k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_direct YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:52:48,443751150+09:00	warmup	2	1	indented_direct_1k	6	baseline	2	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o06_indented_direct_1k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_direct YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:53:10,673844454+09:00	warmup	2	1	indented_ast_10k	7	candidate	1	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o07_indented_ast_10k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_ast YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:53:33,618439102+09:00	warmup	2	1	indented_ast_10k	7	baseline	2	10000	8	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o07_indented_ast_10k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_ast YULANG_GATE2_SEQUENCE_ITEMS=10000 YULANG_GATE2_SEQUENCE_REPEATS=8 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:53:59,806102419+09:00	warmup	2	1	indented_ast_1k	8	candidate	1	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o08_indented_ast_1k_candidate.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_ast YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /home/momot/rust/yulang/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
2026-08-30T19:54:15,927831333+09:00	warmup	2	1	indented_ast_1k	8	baseline	2	1000	50	NA	NA	0	10	1	/tmp/yulang-gate2-final.TM8ChV/ordinary/warmup/raw/warmup_r02_a1_o08_indented_ast_1k_baseline.raw	taskset -c 10 env YULANG_GATE2_SEQUENCE_CASE=indented_ast YULANG_GATE2_SEQUENCE_ITEMS=1000 YULANG_GATE2_SEQUENCE_REPEATS=50 /tmp/yulang-gate2-final.TM8ChV/baseline/target/debug/deps/yu_syntax-cda0f60d5589725d --ignored --exact grammar::expression::tests::gate2_statement_sequence_performance_harness --nocapture
